nom,age,address,region,longitude,latitude,genre
47,08-15-1957,I6U 4N4,Fleurimont,-71.87569881158971,45.43232933361676,0
48,12-07-1976,E6M 4C8,Brompton,-71.98958874334429,45.47538874177055,1
49,01-29-1967,I1X 5V9,Fleurimont,-71.83593733973561,45.40639704749157,1
50,02-01-1942,V3H 5U9,Mont-Bellevue,-71.91587422385003,45.38541196946709,1
51,09-24-1954,B3B 3Y8,Fleurimont,-71.84160834465031,45.43777633521007,0
52,09-10-1982,Y6A 6Y2,Lennoxville,-71.86003427170517,45.37694383248877,0
53,01-05-1964,A2T 9G1,Lennoxville,-71.85813160531288,45.38366876725561,1
54,04-02-1940,I7M 8D9,Fleurimont,-71.8672123042826,45.40461423978221,0
55,10-02-1949,V1B 9W4,Fleurimont,-71.8357949034273,45.41311673072814,0
56,09-14-1949,F3I 1U2,Fleurimont,-71.87274690045983,45.40159216730451,0
57,08-05-1958,D2C 2K8,Saint-Élie,-71.99238307587419,45.431325867192456,0
58,11-06-1952,A6F 8Y7,Saint-Élie,-72.05972346493571,45.391818277910595,0
59,12-23-1985,T4A 6G2,des Nations,-71.96425996478976,45.425219860636375,1
60,07-07-1977,C1G 1K3,Saint-Élie,-72.06514348177882,45.43128702814886,1
61,10-05-1967,E3V 8M6,Lennoxville,-71.84401264486156,45.383644560308795,1
62,05-17-1978,Y9O 7D4,Saint-Élie,-72.02039845554391,45.3783952207108,1
63,05-13-1953,F7T 2B3,Lennoxville,-71.85914976235192,45.36119098658039,1
64,08-26-1962,A3V 1Y4,Mont-Bellevue,-71.9072218433922,45.39217065348327,0
65,08-26-1957,P7W 3P9,des Nations,-71.92939610058514,45.39704332411487,0
66,12-20-1971,H4N 8B5,Lennoxville,-71.84876788553748,45.357556573800885,0
67,07-28-1970,T7F 3D6,Lennoxville,-71.86992275315382,45.36069371482351,0
68,12-13-1970,K1D 7H5,Brompton,-71.95302513955446,45.47560442332175,0
69,10-17-1973,Q9A 9Y4,Lennoxville,-71.83513393980878,45.37526396032481,0
70,02-25-1947,H6U 2F6,Lennoxville,-71.83300541546697,45.37544516039804,0
71,12-15-1950,P6D 4W9,Mont-Bellevue,-71.92102634834208,45.38534343712474,1
72,06-16-1974,V7Q 8W2,Lennoxville,-71.84821846464997,45.38024304353248,1
73,01-24-1977,Y6E 2E5,des Nations,-71.96875495523675,45.4221707478065,1
74,05-13-1979,H5F 4G6,Mont-Bellevue,-71.90119039209533,45.36607451872716,0
75,02-21-1947,A3C 5L7,des Nations,-71.92959481458846,45.41664462662438,0
76,05-04-1979,N5M 9W9,Mont-Bellevue,-71.93645150030558,45.38598611034385,0
77,11-21-1958,R3Y 3D8,des Nations,-71.94091421731193,45.42391787812863,0
78,01-27-1982,D4P 7Q2,Fleurimont,-71.85114033470596,45.4203775729829,0
79,06-14-1954,U9X 8B2,des Nations,-71.93228693693472,45.423619876228884,0
80,08-20-1963,I5U 1O7,Fleurimont,-71.84918170682226,45.424003879030984,0
81,12-24-1972,V6X 2S6,des Nations,-71.95682082644711,45.425442029297145,0
82,11-28-1948,R6R 8V5,des Nations,-71.91400078046377,45.42714220940005,0
83,03-18-1978,K5H 4B7,Brompton,-71.94683996414739,45.467349339191856,0
84,06-13-1962,B7X 1G8,Fleurimont,-71.87307728473847,45.412789013332166,0
85,01-05-1978,M6E 9B9,Saint-Élie,-72.0177119993796,45.42928163813414,0
86,11-26-1961,L3S 2K9,des Nations,-71.92292464519925,45.41564385325676,0
87,03-13-1965,P7T 2B9,Fleurimont,-71.86344045064824,45.409886995857136,1
88,05-04-1963,N4Y 6R1,Fleurimont,-71.87571493863415,45.40916247164413,1
89,08-12-1963,T8N 7F3,Fleurimont,-71.86351851506444,45.40201213148103,1
90,01-08-1943,N3N 5O8,Saint-Élie,-72.0483759461016,45.39368483585361,0
91,02-28-1954,X2N 4I3,Mont-Bellevue,-71.93844487027796,45.39384242315974,0
92,11-14-1975,C7B 9I2,des Nations,-71.93584424280763,45.399671219589976,1
93,12-26-1959,D4U 1S7,des Nations,-71.92360078896057,45.407175693591135,0
94,12-01-1981,O4F 4T6,Fleurimont,-71.86116978116681,45.43445740789145,1
95,01-30-1970,T4T 3E8,Mont-Bellevue,-71.93824395502645,45.36433710269619,1
96,06-04-1965,A4O 8E2,Saint-Élie,-72.05284943856778,45.385150977981,1
97,10-07-1950,S4F 7I5,Fleurimont,-71.88426495966979,45.41080940068571,1
98,06-28-1941,W4O 7P5,Saint-Élie,-72.00830822176475,45.43649829728279,0
99,04-21-1959,U8X 5K3,Saint-Élie,-72.01939308279856,45.40605381792809,1
